timestamp,temperature_C,humidity,mq_raw,mq_gas_detected,anomaly_flag,anomaly_type,anomaly_source
2025-12-11T23:29:44.174,19.5,53.0,0,,,0,none,none
2025-12-11T23:29:46.429,19.5,52.9,0,,,0,none,none
2025-12-11T23:29:48.683,19.5,52.8,0,,,0,none,none
2025-12-11T23:29:50.938,19.5,52.9,0,,,0,none,none
2025-12-11T23:29:53.193,19.5,52.9,0,,,0,none,none
2025-12-11T23:29:55.448,19.5,53.0,0,,,0,none,none
2025-12-11T23:29:57.702,19.5,53.0,0,,,0,none,none
2025-12-11T23:29:59.957,19.5,52.9,0,,,0,none,none
2025-12-11T23:30:02.212,19.5,52.9,0,,,0,none,none
2025-12-11T23:30:04.467,19.5,52.8,0,,,0,none,none
2025-12-11T23:30:06.721,19.5,52.8,0,,,0,none,none
2025-12-11T23:30:08.976,19.5,52.8,0,,,0,none,none
2025-12-11T23:30:11.231,19.5,52.6,0,,,0,none,none
2025-12-11T23:30:13.485,19.5,52.6,0,,,0,none,none
2025-12-11T23:30:15.740,19.5,52.6,0,,,0,none,none
2025-12-11T23:30:17.994,19.5,52.6,0,,,0,none,none
2025-12-11T23:30:20.249,19.5,52.6,0,,,0,none,none
2025-12-11T23:30:22.504,19.5,52.7,0,,,0,none,none
2025-12-11T23:30:24.758,19.5,52.7,0,,,0,none,none
2025-12-11T23:30:27.013,19.5,52.6,0,,,0,none,none
2025-12-11T23:30:29.268,19.5,52.5,0,,,0,none,none
2025-12-11T23:30:31.522,19.5,52.4,0,,,0,none,none
2025-12-11T23:30:33.777,19.5,52.4,0,,,0,none,none
2025-12-11T23:30:36.032,19.5,52.6,0,,,0,none,none
2025-12-11T23:30:38.287,19.5,52.8,0,,,0,none,none
2025-12-11T23:30:40.541,19.5,52.8,0,,,0,none,none
2025-12-11T23:30:42.796,19.5,52.8,0,,,0,none,none
2025-12-11T23:30:45.051,19.5,52.8,0,,,0,none,none
2025-12-11T23:30:47.305,19.5,52.8,0,,,0,none,none
2025-12-11T23:30:49.560,19.5,52.9,0,,,0,none,none
2025-12-11T23:30:51.815,19.5,52.8,0,,,0,none,none
2025-12-11T23:30:54.069,19.5,52.8,0,,,0,none,none
2025-12-11T23:30:56.324,19.5,52.8,0,,,0,none,none
2025-12-11T23:30:58.578,19.5,52.7,0,,,0,none,none
2025-12-11T23:31:00.832,19.5,52.7,0,,,0,none,none
2025-12-11T23:31:03.087,19.5,52.6,0,,,0,none,none
2025-12-11T23:31:05.342,19.5,52.8,0,,,0,none,none
2025-12-11T23:31:07.596,19.5,53.0,0,,,0,none,none
2025-12-11T23:31:09.851,19.5,53.0,0,,,0,none,none
2025-12-11T23:31:12.106,19.5,53.0,0,,,0,none,none
2025-12-11T23:31:14.360,19.5,53.0,0,,,0,none,none
2025-12-11T23:31:16.615,19.5,53.0,0,,,0,none,none
2025-12-11T23:31:18.870,19.5,52.9,0,,,0,none,none
2025-12-11T23:31:21.125,19.5,52.9,0,,,0,none,none
2025-12-11T23:31:23.379,19.5,52.8,0,,,0,none,none
2025-12-11T23:31:25.634,19.5,52.7,0,,,0,none,none
2025-12-11T23:31:27.888,19.5,52.7,0,,,0,none,none
2025-12-11T23:31:30.143,19.5,52.7,0,,,0,none,none
2025-12-11T23:31:32.398,19.5,52.8,0,,,0,none,none
2025-12-11T23:31:34.652,19.5,52.9,0,,,0,none,none
2025-12-11T23:31:36.907,19.5,52.9,0,,,0,none,none
2025-12-11T23:31:39.162,19.5,53.0,0,,,0,none,none
2025-12-11T23:31:41.416,19.5,53.0,0,,,0,none,none
2025-12-11T23:31:43.671,19.5,53.0,0,,,0,none,none
2025-12-11T23:31:45.926,19.5,53.1,0,,,0,none,none
2025-12-11T23:31:48.181,19.5,53.0,0,,,0,none,none
2025-12-11T23:31:50.435,19.5,52.9,0,,,0,none,none
2025-12-11T23:31:52.690,19.5,52.9,0,,,0,none,none
2025-12-11T23:31:54.944,19.5,52.7,0,,,0,none,none
2025-12-11T23:31:57.199,19.5,52.7,0,,,0,none,none
2025-12-11T23:31:59.454,19.5,52.9,0,,,0,none,none
2025-12-11T23:32:01.709,19.5,53.0,0,,,0,none,none
2025-12-11T23:32:03.963,19.5,53.0,0,,,0,none,none
