timestamp,temperature_C,humidity,pir_motion
2025-12-28T04:13:57.453442,17.8,63.3,0
2025-12-28T04:13:59.708048,17.8,63.3,0
2025-12-28T04:14:01.962835,17.8,63.3,0
2025-12-28T04:14:04.217465,17.8,63.3,0
2025-12-28T04:14:06.472017,17.8,63.3,1
2025-12-28T04:14:08.726579,17.8,63.3,1
2025-12-28T04:14:10.981184,17.8,63.3,1
2025-12-28T04:14:13.235634,17.8,63.3,1
2025-12-28T04:14:15.490276,17.8,63.3,1
2025-12-28T04:14:17.744914,17.8,63.3,1
2025-12-28T04:14:19.999403,17.8,63.3,1
2025-12-28T04:14:22.253940,17.8,63.3,1
2025-12-28T04:14:24.508534,17.8,63.3,1
2025-12-28T04:14:26.763076,17.8,63.3,1
2025-12-28T04:14:29.017839,17.8,63.3,1
2025-12-28T04:14:31.272398,17.8,63.3,1
2025-12-28T04:14:33.526894,17.8,63.3,1
2025-12-28T04:14:35.781668,17.8,63.3,1
2025-12-28T04:14:38.036242,17.8,63.2,1
2025-12-28T04:14:40.290512,17.8,63.3,1
2025-12-28T04:14:42.545324,17.8,63.3,1
2025-12-28T04:14:44.799999,17.8,63.3,1
2025-12-28T04:14:47.054487,17.8,63.2,1
2025-12-28T04:14:49.309117,17.8,63.2,0
2025-12-28T04:14:51.563698,17.8,63.3,0
2025-12-28T04:14:53.818254,17.8,63.2,0
2025-12-28T04:14:56.073035,17.8,63.2,0
2025-12-28T04:14:58.327551,17.8,63.2,0
2025-12-28T04:15:00.581989,17.8,63.2,0
2025-12-28T04:15:02.836682,17.8,63.2,1
2025-12-28T04:15:05.091195,17.8,63.2,1
2025-12-28T04:15:07.345669,17.8,63.2,1
2025-12-28T04:15:09.600386,17.8,63.2,1
2025-12-28T04:15:11.854943,17.8,63.2,1
2025-12-28T04:15:14.109421,17.8,63.2,1
2025-12-28T04:15:16.364090,17.8,63.2,1
2025-12-28T04:15:18.618616,17.8,63.3,1
2025-12-28T04:15:20.873252,17.8,63.3,1
2025-12-28T04:15:23.127858,17.8,63.2,1
2025-12-28T04:15:25.381965,17.8,63.3,1
2025-12-28T04:15:27.636432,17.8,63.3,1
2025-12-28T04:15:29.891200,17.8,63.2,1
2025-12-28T04:15:32.145746,17.8,63.3,1
2025-12-28T04:15:34.400203,17.8,63.3,1
2025-12-28T04:15:36.656202,17.8,63.2,1
2025-12-28T04:15:38.910802,17.8,63.3,1
2025-12-28T04:15:41.165346,17.8,63.2,1
2025-12-28T04:15:43.419992,17.8,63.2,1
2025-12-28T04:15:45.674659,17.8,63.2,0
2025-12-28T04:15:47.929143,17.8,63.3,0
2025-12-28T04:15:50.183651,17.8,63.2,0
2025-12-28T04:15:52.438213,17.8,63.2,0
2025-12-28T04:15:54.692783,17.8,63.2,0
2025-12-28T04:15:56.947308,17.8,63.2,0
2025-12-28T04:15:59.201885,17.8,63.2,0
2025-12-28T04:16:01.456375,17.8,63.2,1
2025-12-28T04:16:03.711142,17.8,63.2,1
2025-12-28T04:16:05.965699,17.8,63.2,1
2025-12-28T04:16:08.220101,17.8,63.2,1
2025-12-28T04:16:10.474713,17.8,63.2,1
2025-12-28T04:16:12.729224,17.8,63.2,1
2025-12-28T04:16:14.983716,17.8,63.2,1
2025-12-28T04:16:17.238405,17.8,63.2,1
2025-12-28T04:16:19.492872,17.8,63.2,1
2025-12-28T04:16:21.747441,17.8,63.2,1
2025-12-28T04:16:24.002120,17.8,63.2,1
2025-12-28T04:16:26.256694,17.8,63.2,1
2025-12-28T04:16:28.511175,17.8,63.2,1
2025-12-28T04:16:30.765912,17.8,63.2,1
2025-12-28T04:16:33.020472,17.8,63.2,1
2025-12-28T04:16:35.274786,17.8,63.2,1
2025-12-28T04:16:37.529509,17.8,63.2,1
2025-12-28T04:16:39.784088,17.8,63.2,1
2025-12-28T04:16:42.038571,17.8,63.2,1
2025-12-28T04:16:44.293352,17.8,63.2,0
2025-12-28T04:16:46.547814,17.8,63.2,0
2025-12-28T04:16:48.802401,17.8,63.2,0
2025-12-28T04:16:51.057230,17.8,63.2,0
2025-12-28T04:16:53.311536,17.8,63.2,0
2025-12-28T04:16:55.565890,17.8,63.2,0
2025-12-28T04:16:57.820692,17.8,63.2,1
2025-12-28T04:17:00.075289,17.8,63.2,1
2025-12-28T04:17:02.329764,17.9,63.3,1
2025-12-28T04:17:04.584379,17.8,63.2,1
2025-12-28T04:17:06.839131,17.8,63.2,1
2025-12-28T04:17:09.093702,17.8,63.2,1
2025-12-28T04:17:11.348549,17.8,63.2,1
2025-12-28T04:17:13.603005,17.8,63.2,1
2025-12-28T04:17:15.857657,17.8,63.2,1
2025-12-28T04:17:18.112391,17.8,63.2,1
2025-12-28T04:17:20.366970,17.8,63.2,1
2025-12-28T04:17:22.621418,17.8,63.2,1
2025-12-28T04:17:24.876306,17.8,63.2,1
2025-12-28T04:17:27.130946,17.8,63.3,1
2025-12-28T04:17:29.385414,17.8,63.2,1
2025-12-28T04:17:31.640110,17.8,63.2,1
2025-12-28T04:17:33.894371,17.8,63.2,1
2025-12-28T04:17:36.148875,17.8,63.2,1
2025-12-28T04:17:38.403515,17.8,63.2,1
2025-12-28T04:17:40.658028,17.8,63.2,0
2025-12-28T04:17:42.912566,17.8,63.2,0
2025-12-28T04:17:45.167270,17.8,63.2,0
2025-12-28T04:17:47.421806,17.8,63.2,0
2025-12-28T04:17:49.676379,17.8,63.2,0
2025-12-28T04:17:51.931110,17.8,63.2,0
2025-12-28T04:17:54.185658,17.8,63.2,0
2025-12-28T04:17:56.440229,17.8,63.2,1
2025-12-28T04:17:58.694688,17.8,63.2,1
2025-12-28T04:18:00.949240,17.8,63.2,1
2025-12-28T04:18:03.203700,17.8,63.2,1
2025-12-28T04:18:05.458372,17.8,63.2,1
2025-12-28T04:18:07.713165,17.8,63.2,1
2025-12-28T04:18:09.967706,17.8,63.3,1
2025-12-28T04:18:12.222203,17.8,63.2,1
2025-12-28T04:18:14.476798,17.8,63.2,1
2025-12-28T04:18:16.731195,17.8,63.2,1
2025-12-28T04:18:18.985903,17.8,63.2,1
2025-12-28T04:18:21.240466,17.8,63.2,1
2025-12-28T04:18:23.494845,17.8,63.2,1
2025-12-28T04:18:25.749532,17.8,63.2,1
2025-12-28T04:18:28.004090,17.8,63.2,1
2025-12-28T04:18:30.258596,17.8,63.2,1
2025-12-28T04:18:32.513359,17.8,63.2,1
2025-12-28T04:18:34.767968,17.8,63.2,1
2025-12-28T04:18:37.022432,17.8,63.2,1
2025-12-28T04:18:39.277203,17.8,63.2,0
2025-12-28T04:18:41.531867,17.8,63.2,0
2025-12-28T04:18:43.786522,17.8,63.1,0
2025-12-28T04:18:46.041267,17.8,63.2,0
2025-12-28T04:18:48.295849,17.8,63.2,0
2025-12-28T04:18:50.550433,17.8,63.1,0
2025-12-28T04:18:52.805340,17.8,63.2,1
2025-12-28T04:18:55.059874,17.8,63.2,1
2025-12-28T04:18:57.314221,17.8,63.1,1
2025-12-28T04:18:59.569129,17.8,63.1,1
2025-12-28T04:19:01.823854,17.8,63.2,1
2025-12-28T04:19:04.078458,17.8,63.2,1
2025-12-28T04:19:06.333190,17.8,63.2,1
2025-12-28T04:19:08.587785,17.8,63.2,1
2025-12-28T04:19:10.842338,17.8,63.2,1
2025-12-28T04:19:13.097254,17.8,63.1,1
2025-12-28T04:19:15.351890,17.8,63.2,1
2025-12-28T04:19:17.606433,17.8,63.2,1
2025-12-28T04:19:19.861263,17.8,63.2,1
2025-12-28T04:19:22.115838,17.8,63.2,1
2025-12-28T04:19:24.369992,17.8,63.2,1
2025-12-28T04:19:26.624703,17.8,63.1,1
2025-12-28T04:19:28.879352,17.8,63.1,1
2025-12-28T04:19:31.133857,17.8,63.1,1
2025-12-28T04:19:33.388611,17.8,63.1,1
2025-12-28T04:19:35.643172,17.8,63.1,0
2025-12-28T04:19:37.897619,17.8,63.1,0
2025-12-28T04:19:40.152368,17.8,63.1,0
2025-12-28T04:19:42.406601,17.8,63.1,0
2025-12-28T04:19:44.661234,17.8,63.1,0
2025-12-28T04:19:46.915948,17.8,63.1,0
2025-12-28T04:19:49.170506,17.8,63.1,0
2025-12-28T04:19:51.425027,17.8,63.1,1
2025-12-28T04:19:53.679753,17.8,63.1,1
2025-12-28T04:19:55.934091,17.8,63.1,1
2025-12-28T04:19:58.188635,17.8,63.1,1
2025-12-28T04:20:00.443332,17.8,63.1,1
2025-12-28T04:20:02.697956,17.8,63.1,1
2025-12-28T04:20:04.952305,17.8,63.1,1
2025-12-28T04:20:07.206624,17.8,63.1,1
2025-12-28T04:20:09.461222,17.8,63.2,1
2025-12-28T04:20:11.715832,17.8,63.2,1
2025-12-28T04:20:13.970311,17.8,63.1,1
2025-12-28T04:20:16.224766,17.8,63.2,1
2025-12-28T04:20:18.479348,17.8,63.2,1
2025-12-28T04:20:20.734223,17.8,63.2,1
2025-12-28T04:20:22.988922,17.8,63.2,1
2025-12-28T04:20:25.243505,17.8,63.2,1
2025-12-28T04:20:27.498244,17.8,63.1,1
2025-12-28T04:20:29.752770,17.8,63.2,1
2025-12-28T04:20:32.007257,17.8,63.2,1
2025-12-28T04:20:34.262037,17.8,63.2,0
2025-12-28T04:20:36.516715,17.8,63.2,0
2025-12-28T04:20:38.771285,17.8,63.2,0
2025-12-28T04:20:41.025998,17.8,63.2,0
2025-12-28T04:20:43.280665,17.8,63.2,0
2025-12-28T04:20:45.535134,17.8,63.2,0
2025-12-28T04:20:47.789909,17.8,63.2,1
2025-12-28T04:20:50.044512,17.8,63.2,1
2025-12-28T04:20:52.299029,17.8,63.1,1
2025-12-28T04:20:54.553715,17.8,63.2,1
2025-12-28T04:20:56.808417,17.8,63.2,1
2025-12-28T04:20:59.062936,17.8,63.2,1
2025-12-28T04:21:01.317537,17.8,63.2,1
2025-12-28T04:21:03.572182,17.8,63.2,1
2025-12-28T04:21:05.826772,17.8,63.2,1
2025-12-28T04:21:08.081512,17.8,63.2,1
2025-12-28T04:21:10.336105,17.8,63.2,1
2025-12-28T04:21:12.590606,17.8,63.2,1
2025-12-28T04:21:14.845408,17.8,63.2,1
2025-12-28T04:21:17.099978,17.8,63.1,1
2025-12-28T04:21:19.354468,17.8,63.2,1
2025-12-28T04:21:21.609235,17.8,63.1,1
2025-12-28T04:21:23.863879,17.8,63.2,1
2025-12-28T04:21:26.118360,17.8,63.1,1
2025-12-28T04:21:28.373132,17.8,63.2,1
2025-12-28T04:21:30.627694,17.8,63.2,0
2025-12-28T04:21:32.882257,17.8,63.2,0
2025-12-28T04:21:35.137101,17.8,63.3,0
2025-12-28T04:21:37.391669,17.8,63.2,0
2025-12-28T04:21:39.646146,17.8,63.2,0
2025-12-28T04:21:41.900925,17.8,63.2,0
